Posted,Age,Title,Company,Location,Workplace,YOE,Salary low,Salary high,Cur,Tech,Board,Apply
2026-09-01,8,Associate Software Engineer,Sun Life,Toronto or Waterloo,Hybrid,1,54000,89000,CAD,"C#, .NET, ASP.NET, REST API, SOAP, SQL, SQL Server",workday,https://sunlife.wd3.myworkdayjobs.com/experienced-jobs.html/job/Toronto-Ontario/Associate-Software-Engineer_JR00127248
2026-09-01,8,Mobile Software Engineer I (iOS),TD Bank Group,"Toronto, Ontario, Canada",Onsite,1,69700,98400,CAD,"Swift, SwiftUI, UIKit, Swift Concurrency, Combine, XCTest, Swift Testing",workday,https://td.wd3.myworkdayjobs.com/td_bank_careers/job/Toronto-Ontario/Mobile-Software-Engineer-I--iOS-_R_1506998
2026-08-31,8,"Software Developer, New Grad",IXL Learning,"Toronto, Ontario, Canada",Onsite,,90000,92000,CAD,"Java, SQL, JavaScript, CSS, React, Linux, Git",grnhse,https://www.ixl.com/company/jobs?gh_jid=8765751002
2026-08-29,10,Software Engineer - Game of Thrones Slots,Zynga,Austin or San Mateo or Chicago or Toronto,Hybrid,1,71400,126860,USD,"Unity, C#, PHP, Git",grnhse,https://job-boards.greenhouse.io/zyngacareers/jobs/6151865004
2026-08-28,11,"Ingénieur Logiciel Android, Lyft Solutions Urbaines",Lyft Urban Solutions,Montreal or New York City or Chicago or Washington or Austin or Barcelona or Bogota or Boston or Buenos Aires or Columbus or Detroit or Dubai or London or Madrid or Mexico City or Monaco or Pittsburgh or Portland or Rio de Janeiro or San Francisco or Toronto,Hybrid,1,72000,90000,CAD,"Kotlin, Jetpack Compose",puck,https://app.careerpuck.com/job-board/lyft/job/8743515002
2026-08-28,11,Junior Software Engineer (Remote),PolicyMe,"Ontario, Canada",Remote,,80000,110000,CAD,"Python, React, Redux, PostgreSQL, n8n, LangChain, LangGraph",lever,https://jobs.lever.co/policyme/2ad3fd98-21fc-4bbd-aa91-868befe5f699
2026-08-28,12,Junior DevOps Engineer ,NRT Technology,"Toronto, Ontario, Canada",Onsite,1,65000,70000,CAD,"Amazon Web Services (AWS), Kubernetes, GitHub, GitLab, Docker, Amazon Elastic Kubernetes Service (EKS), Amazon Elastic Container Registry (ECR)",dayforce,https://jobs.dayforcehcm.com/en-US/nrt/candidateportal/jobs/5845
2026-08-27,12,"Associate Software Engineer, Expenses",Justworks,Toronto or New York City,Hybrid,1,109000,136000,CAD,"Golang, Ruby on Rails, Javascript, MySQL, Kafka, AWS, Git",grnhse,https://boards.greenhouse.io/justworks/jobs/7957539?gh_jid=7957539
2026-08-27,12,Entry Level Full Stack Engineer (Chat Platform),"Yelp, Inc",Canada,Remote,,85000,107000,CAD,"Python, TypeScript, Android, iOS, Server Driven UI, Web, React",icims2,https://yelp.jibeapply.com/jobs/14025
2026-08-27,12,Software Development Analyst,CBRE,Toronto or Mississauga or North York or Ottawa or Montreal or Quebec City or Halifax,Hybrid,,77000,85000,CAD,"Python, Git, Qt, SQL Server, Microsoft Excel, Microsoft Word, PostgreSQL",avature,https://careers.cbre.com/en_US/careers/JobDetail/Software-Development-Analyst/279469
2026-08-27,13,Software Developer ,Geotab,Oakville or Waterloo,Hybrid,1,85500,105600,CAD,"Linux, C#, .NET, SQL, JavaScript, CSS, HTML",grnhse,https://job-boards.greenhouse.io/geotab/jobs/5386820008
2026-08-27,13,Entry Level Full Stack Engineer (Chat Platform),Yelp,Toronto or Vancouver or Montreal or Calgary or Canada,Remote,,85000,107000,CAD,"Python, TypeScript, React, Flask, Server Driven UI",icims2,https://cancareers-yelp.icims.com/jobs/14025/entry-level-full-stack-engineer-%28chat-platform%29/job?in_iframe=1
2026-08-27,13,Software Developer,Fidelity Canada,"Toronto, Ontario, Canada",Remote,1,101000,118000,CAD,"Python, Git, GitHub Actions, CI/CD, Docker, Podman, SQL",workday,https://fil.wd3.myworkdayjobs.com/fidelitycanada/job/Toronto-Office/Software-Developer_J70265
2026-08-26,13,"Developer, Data & Systems",Office of the Parliamentary Budget Officer,"Ottawa, Ontario, Canada",Onsite,,83742,99065,CAD,,adhoc,https://careers--carrieres.pbo-dpb.ca/processes--processus/26-PB-11?lang=en
2026-08-26,13,Engineer – Agent R&D,"Huawei Technologies Canada Co., Ltd.","Markham, Ontario, Canada",Onsite,,106000,156000,CAD,"Python, OpenClaw, Hermes, GPT, Claude, Qwen, LLaMA",recruitee,https://huaweicanada.recruitee.com/o/engineer-agent-rd
2026-08-26,14,Senior AI Analyst (T & I) (Telework/Hybrid),CBC/Radio-Canada,Toronto or North America,Hybrid,1,,,,"Cursor, Claude, Python, TypeScript, Java, PyTorch, CrewAI",workday,https://cbcrc.wd3.myworkdayjobs.com/cbc_radio-canada_jobs/job/Toronto-ON/Senior-AI-Analyst--T---I---Telework-Hybrid-_JR00008776
2026-08-25,14,Mobile Developer (Entry Level),Konrad,"Toronto, Ontario, Canada",Hybrid,,85000,95000,CAD,"iOS, Android, REST APIs, Objective-C, Swift, Java, Kotlin",grnhse,https://www.konrad.com/careers/job/7976082003?gh_jid=7976082003
2026-08-24,15,"Développeur.se d’applications, Power Platform",Addenda Capital,Montreal or Toronto or Guelph or Regina,Hybrid,1,,,,"Microsoft .NET Framework, TFS, Azure DevOps Server, Microsoft Power Platform, Microsoft Power Automate, Microsoft Power Apps, Microsoft Power BI",jobvite,https://jobs.jobvite.com/addendacapital-fr/job/oB9HAfwL?nl=1&fr=true
2026-08-24,16,Software Developer,Autodesk,"Toronto, Ontario, Canada",Onsite,,88000,128700,CAD,"C++, C#, Git, DevOps, CI/CD, Python, .NET",workday,https://autodesk.wd1.myworkdayjobs.com/ext/job/Toronto-ON-CAN/Software-Developer_26WD100579
2026-08-21,19,"Software Engineer, Core Services",Lime,Canada,Remote,1,,,,"Ruby, Go",ashby,https://jobs.ashbyhq.com/lime/7a3d40b9-8a3f-4d2f-8c0a-e2facce3d758
2026-08-20,19,"Machine Learning Engineer II, Ads - Response Prediction",Instacart,Ontario or Alberta or British Columbia or Nova Scotia,Remote,1,154000,162500,CAD,"SQL, Spark, Pandas, Transformer, LLM",grnhse,https://instacart.careers/job/?gh_jid=8143263
2026-08-20,20,Software Engineer 1,Phreesia,Canada,Remote,,85000,92000,CAD,"C#, .NET, .NET Framework, SQL Server, Mongo, Redis, RabbitMQ",workday,https://phreesia.wd1.myworkdayjobs.com/phreesiacanada/job/Remote-Canada/Software-Engineer-1_R4868
2026-08-18,21,Platform Emulation Software Engineer - DC GPU,"Advanced Micro Devices, Inc",Markham or Austin,Hybrid,,113400,162000,CAD,"CUDA, C++, HIP, C, Python, Tcl, Linux",icims2,https://careers.amd.com/jobs/89892?lang=en-us
2026-08-18,21,Associate LLM Engineer (Forward Deployment),ZS,"Toronto, Ontario, Canada",Hybrid,1,75000,90250,CAD,"Python, JavaScript, RAG, Vector DB, Agentic workflows, LoRA, QLORA",icims2,https://jobs.zs.com/jobs/63321?lang=en-us
2026-08-17,22,AI Developer,ArcelorMittal Tailored Blanks,Oxford County or Concord,Onsite,,80000,90000,CAD,"Microsoft, Anthropic, OpenAI, GPT, Perplexity, Claude, PyTorch",ultipro,https://recruiting.ultipro.ca/arc5001amtb/JobBoard/7e90af70-170b-4bbc-8605-ef4f10c13e5d/OpportunityDetail?opportunityId=a92cb937-cc94-4a08-bbde-fd861146a97c
2026-08-14,26,"Consultant, ServiceNow Developer",KPMG,Toronto or Calgary or Halifax or Vancouver or Ottawa,Onsite,1,66000,76000,CAD,"ServiceNow, ITSM, HRSD, ITOM, CSM, JavaScript, HTML",icims2,https://careers.kpmg.ca/jobs/33530?lang=en-us
2026-08-13,26,Copy of AI Engineer,PureFacts Financial Solutions,"Toronto, Ontario, Canada",Hybrid,1,,,,"Python, LangGraph, OpenAI, Azure OpenAI, Anthropic, LangChain, LlamaIndex",rippling,https://ats.rippling.com/purefacts_jobs/jobs/0981ef32-a247-46e9-923b-a7355e681f08
2026-08-13,27,"Front-End Developer, DX Studio - 18-Month Contract",Loblaw Companies Limited,"Toronto, Ontario, Canada",Onsite,,80000,110000,CAD,"JavaScript, React, HTML, CSS, Git, TypeScript, Next.js",workday,https://myview.wd3.myworkdayjobs.com/paradox_careers/job/500-Lake-Shore-Blvd-W-Toronto-ON/Front-End-Developer--DX-Studio---18-Month-Contract_R2000692440
2026-08-13,27,Software Developer,Turner Fleischer,"Toronto, Ontario, Canada",Hybrid,,65000,80000,CAD,"JavaScript, TypeScript, React, C#, ASP.NET Core, HTML, CSS",bamboohr,https://turnerfleischer.bamboohr.com/careers/210
2026-08-13,27,Software Developer,Pleora Technologies,"Kanata, Ontario, Canada",Onsite,1,80000,105000,CAD,"C++, Qt, QML, OpenCV, CUDA, OpenCL, ARM",bamboohr,https://pleora.bamboohr.com/careers/113
2026-08-11,29,Software Developer - Talent Community,Volaris Group,Stouffville or North America,Hybrid,,,,,"C#, C++, Java, Python, Golang, Rust, SQL",workday,https://volarisgroup.wd3.myworkdayjobs.com/portfolioplus/job/Canada---Stouffville-ON/Software-Developer---Talent-Community_R66782
2026-08-10,29,Forward Deployed Engineer - Software Engineer - Canada,ElevenLabs,Canada or Toronto,Remote,,,,,"Python, APIs",ashby,https://jobs.ashbyhq.com/elevenlabs/a4ccd185-8576-4f69-aa8d-454f323cc024
2026-08-07,32,AI Agent Implementations Specialist,Extreme Networks,"Thornhill, Ontario, Canada",Remote,1,,,,"Marketo, CRM, CMS, Python, JavaScript, Node.js, API",lever,https://jobs.lever.co/extremenetworks/ebb38b50-7d0e-46ef-b166-2a3d2d41d5d6
2026-08-04,36,QNX Systems Software Developer II,BlackBerry,"Ottawa, Ontario, Canada",Onsite,,90000,132000,CAD,"C, C++, QNX RTOS, VirtIO, Android AOSP, QEMU, Xen",workday,https://bb.wd3.myworkdayjobs.com/blackberry/job/Ottawa-Ontario/QNX-Systems-Software-Developer-II_20260265-1
2026-08-04,36,Software Developer,Sonova AG,"Kitchener, Ontario, Canada",Hybrid,0,90000,115000,CAD,"Python, SQL, Databricks, Git, Docker, CI/CD, Jira",successfactors,https://jobs.sonova.com/job/Kitchener-%28ON%29-Software-Developer-ON/1422817133/
2026-08-04,36,QNX Systems Software Developer II,Bb,"Ottawa, Ontario, Canada",Onsite,,90000,132000,CAD,"C, C++, QNX RTOS, VirtIO, Android AOSP, QEMU, Xen",workday,https://bb.wd3.myworkdayjobs.com/qnx/job/Ottawa-Ontario/QNX-Systems-Software-Developer-II_20260265
2026-08-03,36,Junior Software Engineer ,Emetlab,North America or South America or Europe or Africa or Asia or Australia or Antarctica,Remote,,,,,"Python, C#, TypeScript, JavaScript, Git",dover,https://app.dover.com/apply/d0bce587-d412-4c45-8e37-4bd404104988/da3e39f2-9d70-4664-9933-186e6c765830
2026-07-30,40,"Infrastructure & Capital Projects – Power Platform & BI Developer, COM",Accenture,"Toronto, Ontario, Canada",Hybrid,1,69000,103000,CAD,"Microsoft Power Apps, Microsoft Power Automate, Microsoft Power Pages, Microsoft Dataverse, Microsoft SharePoint, Microsoft Power BI, JavaScript",adhoc,https://www.accenture.com/ca-en/careers/jobdetails?id=1681_en&title=Infrastructure+%26amp%3B+Capital+Projects+%E2%80%93+Power+Platform+%26amp%3B+BI+Developer%2C+COM
2026-07-30,40,"Infrastructure & Capital Projects – Power Platform & BI Developer, COM",Accenture Infrastructure & Capital Projects Inc. (Comtech),"Toronto, Ontario, Canada",Hybrid,1,69000,103000,CAD,"Microsoft Power Apps, Power Pages, Power Automate, Dataverse, SharePoint, Power BI, Power Query",hrsmart,https://teamcomtech.hua.hrsmart.com/hr/ats/Posting/view/1681
2026-07-30,41,Software Developer (Junior),Solace Corporation,"Ottawa, Ontario, Canada",Hybrid,,85000,105000,CAD,"Java, Python, C, C#, JavaScript, Go, Claude Code",bamboohr,https://solace.bamboohr.com/careers/777
2026-07-29,41,"Software Engineer III, Product Safety & Integrity ",Wikimedia Foundation,Arizona or California or Colorado or Connecticut or District of Columbia or Florida or Georgia or Idaho or Illinois or Indiana or Iowa or Maryland or Massachusetts or Michigan or Minnesota or Missouri or New Jersey or New Mexico or New York or North Carolina or Ohio or Oklahoma or Oregon or Pennsylvania or Puerto Rico or Rhode Island or Tennessee or Texas or Utah or Vermont or Virginia or Washington or West Virginia or Wisconsin or Wyoming or Brazil or Canada or Colombia or France or Germany or Ghana or India or Indonesia or Italy or Kenya or Mexico or Morocco or Netherlands or Poland or Singapore or South Africa or Spain or Switzerland or United Kingdom,Remote,1,92267,144201,USD,"PHP, Javascript",grnhse,https://job-boards.greenhouse.io/wikimedia/jobs/8090103
2026-07-28,43,Software Engineer,Anchorbase,Toronto or Calgary,Onsite,,,,,"TypeScript, React, NestJS, Vite, C++",dover,https://app.dover.com/apply/f54eeed1-2f95-415e-802e-d4197d027155/1aeaf78e-9ac4-4b96-a985-024f31ddff56
2026-07-28,43,"Software Engineer 1 - Android, Dynamic Experiences",Intuit,"Toronto, Ontario, Canada",Hybrid,,94000,127000,CAD,"Swift, SwiftUI, REST, SOAP, Agile Development, SCRUM, Kanban",adhoc,https://intuit.avature.net/externalCareers/JobApplication?pipelineId=22868
2026-07-27,43,Software Engineer ,Meow,Toronto or New York City,Remote,1,,,,"TypeScript, React, Python, FastAPI, Postgres, AWS",ashby,https://jobs.ashbyhq.com/meow/0db09b6a-9ee7-4787-997c-5aace86322d1
2026-07-27,43,Jr. Embedded Software Developer,Nokia,"Ottawa, Ontario, Canada",Onsite,,56840,105560,CAD,"Linux, Yocto, KVM, QEMU, libvirt, Python3, IP/MPLS",oraclecloud,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions/job/37457
2026-07-24,46,Software Developer (Junior to Intermediate),MAD Elevator,"Mississauga, Ontario, Canada",Onsite,,72000,95000,CAD,"TypeScript, JavaScript, C#, Next.js, React, Python, WPF",adp,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=4aaeb051-a2b2-45d4-8d95-18f9a98abb4e&ccId=19000101_000001&jobId=547768&lang=en_CA
2026-07-24,46,Junior Software Engineer (264671),Scotiabank Global Site,"Toronto, Ontario, Canada",Onsite,,,,,"Java, JavaScript, Python, MySQL, PostgreSQL, MongoDB, RESTful APIs",successfactors,https://career17.sapsf.com/career?career_ns=job_listing&company=scotiabank&career_job_req_id=264671
2026-07-24,47,Back-end .net Developer,EY,"Toronto, Ontario, Canada",Onsite,,65500,99000,CAD,"C#, ASP.NET, SQL, ASP.NET Web API, ASP.NET Web Forms, ASP.NET Core, HTML",successfactors,https://careers.ey.com/ey/job/Toronto-Back-end-_net-Developer-ON-M5H-0B3/1418865833/
2026-07-23,47,Developer,DATA Communications Management Corp.,"Mississauga, Ontario, Canada",Hybrid,1,65149,81436,CAD,"Unix, COBOL, Perl, C, Korn Shell, C++, Python",adp,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=2e04f94e-913a-4d07-aa95-facc4ff2e36c&ccId=19000101_000001&jobId=547715&lang=en_CA
2026-07-23,48,Software Development Manager,Xanadu,"Toronto, Ontario, Canada",Onsite,1,150000,190000,CAD,"Python, Git, AWS, CI/CD, Infrastructure as Code (IaC), Docker, Google Cloud",jazzhr,http://xanadu.applytojob.com/apply/XTSShc2fek/Software-Development-Manager
2026-07-23,48,Security Software Developer,Evertz Microsystems Limited,"Markham, Ontario, Canada",Onsite,1,60000,85000,CAD,"C/C++, Python, Bash, iptables, SSH, SNMPv3, syslog",jazzhr,http://evertz.applytojob.com/apply/RlbMqZQ5iF/Security-Software-Developer
2026-07-20,51,"Associate, Software Engineer, New Grad Card Expansion",Capitalone,"Toronto, Ontario, Canada",Hybrid,,100000,100000,CAD,"Android Studio, XCode, Visual Studio Code, IntelliJ, Kotlin, Swift, JavaScript",workday,https://capitalone.wd12.myworkdayjobs.com/capital_one/job/Toronto-ON/Associate--Software-Engineer--New-Grad-Card-Expansion_R247320
2026-07-20,51,AI Security Automation Engineer-Officer,Statestreet,Quincy or Toronto or Princeton or Clifton or Austin or Berwyn or Boston,Hybrid,1,70000,118750,USD,"Python, JavaScript, TypeScript, Rust, Go, Bash, PowerShell",workday,https://statestreet.wd1.myworkdayjobs.com/global/job/Quincy-Massachusetts/AI-Security-Automation-Engineer-Officer_R-794581
2026-07-20,51,"AI Solutions Developer (Full-time, 1 year contract with possibility for extension)",BrandActive,"Toronto, Ontario, Canada",Hybrid,1,65000,90000,CAD,"Python, Microsoft 365, SharePoint Online, Smartsheet, Power Platform, GitHub Copilot, Claude Code",bamboohr,https://brandactive.bamboohr.com/careers/94
2026-07-17,53,Remote Java Developer,Qureos Inc,Canada or Mexico or United States,Remote,,,,,"Java, Spring, PostgreSQL, MySQL, SQL, Git",teamtailor,https://qureosinc.teamtailor.com/jobs/8089101-remote-java-developer
2026-07-14,56,Simulation Engineer,Cerebras Systems,Sunnyvale or Toronto,Onsite,,,,,"C++, Python",ashby,https://jobs.ashbyhq.com/cerebras/bf6f81b2-f079-483a-9238-295a184b3f0f
2026-07-14,57,Netsuite Developer,CBTS,"Thornhill, Ontario, Canada",Remote,,,,,,eightfold,https://cbts.eightfold.ai/careers/job/1443152141310
2026-07-14,57,Automation Engineer 2 - Technical Support,The Company,United States or Canada or United Kingdom or India or Armenia or Australia or New Zealand,Remote,,,,,"Forethought, Salesforce, Microsoft Copilot, Microsoft Teams",icims2,https://globalcareers-granicus.icims.com/jobs/10357/automation-engineer-2---technical-support/job?in_iframe=1
2026-07-10,60,"iOS Engineer, Customer Growth","Thumbtack, Inc.","Ontario, Canada",Remote,,180200,233200,CAD,"Swift, Objective-C, App Store, Claude Enterprise, Claude.ai, Claude Code, Cowork",adhoc,https://careers.thumbtack.com/jobs/a6f52c2f-1036-4ea6-ac44-5e50990a8933
2026-07-10,60,DevSecOps Developer Zero Trust,Mercedes-Benz Canada Inc.,"Mississauga, Ontario, Canada",Onsite,1,82909,114000,CAD,"Java, JavaScript, Spring Boot, RabbitMQ, SQL, Docker, Kubernetes",taleo_careersection,https://tas-daimler.taleo.net/careersection/ex/jobdetail.ftl?job=MER00045OX&lang=en
